x,y
4.5553,3.2485
3.1074,4.6317
1.2712,5.4142
-0.7247,5.5529
-2.6359,4.9408
-4.209,3.6939
-5.2412,1.9723
-5.6,-0.0022
-5.2395,-1.9769
-4.2061,-3.6971
-2.6321,-4.9429
-0.7199,-5.5535
1.2842,-5.4504
3.1239,-4.6477
4.5619,-3.2479
5.4093,-1.4292
5.5528,0.5689
5.0119,2.4981
3.7989,4.0943
2.1124,5.1727
0.1524,5.5814
-1.8257,5.2768
-3.5674,4.2926
-4.8681,2.7679
-5.5314,0.8739
-5.4842,-1.1329
-4.7324,-2.9941
-3.369,-4.465
-1.5798,-5.3725
0.4158,-5.5786
2.3584,-5.0792
3.998,-3.9212
5.1149,-2.256
5.5765,-0.307
5.3409,1.6838
4.3879,3.4458
2.8914,4.7727
1.0224,5.4817
-0.9806,5.5135
-2.8492,4.7921
-4.3752,3.4954
-5.3243,1.7272
-5.5939,-0.261
-5.1425,-2.2169
-4.0304,-3.888
-2.4008,-5.0591
-0.4625,-5.5809
1.5348,-5.3856
3.3223,-4.4807
4.6928,-3.0237
5.4694,-1.1776
5.5257,0.8257
4.8911,2.7271
3.6046,4.2642
1.8706,5.2652
-0.1054,5.568
-2.0737,5.2019
-3.7745,4.1368
-4.9638,2.5262
-5.5659,0.6168
-5.426,-1.3851
-4.589,-3.2096
-3.1479,-4.5996
-1.3257,-5.4227
0.6722,-5.5452
2.5906,-4.9648
4.1701,-3.7278
5.2227,-2.0207
5.5828,-0.0489
5.2356,1.9209
4.2263,3.6469
2.6772,4.9186
0.7712,5.5466
-1.2278,5.4335
-3.0721,4.6621
-4.532,3.2895
-5.3654,1.4702
-5.5579,-0.5175
-5.019,-2.4446
-3.8403,-4.0636
-2.162,-5.1588
-0.2041,-5.5963
1.7664,-5.2623
3.5397,-4.3394
4.8426,-2.8124
5.5206,-0.9241
5.4631,1.0765
4.7456,2.942
3.4088,4.4328
1.6289,5.3579
-0.3638,5.5762
-2.3118,5.1005
-3.961,3.9565
-5.0765,2.2947
-5.5844,0.3587
-5.344,-1.6306
-4.4357,-3.4182
-2.935,-4.7462
-1.0771,-5.4954
0.9278,-5.5084
2.8173,-4.8397
4.3412,-3.5338
5.3017,-1.7736
5.5865,0.2094
5.1626,2.1697
4.0661,3.8505
2.4414,5.0255
0.513,5.5709
-1.4805,5.3813
-3.2941,4.5287
-4.6792,3.0765
-5.445,1.2246
-5.5128,-0.7722
-4.896,-2.6713
-3.6542,-4.2435
-1.916,-5.2387
0.0548,-5.5997
2.0172,-5.1981
3.7272,-4.1608
4.9674,-2.5856
5.56,-0.6683
5.4385,1.3354
4.6181,3.1675
3.2014,4.5872
1.3731,5.4019
-0.6225,5.5653
-2.544,4.9861
-4.1407,3.7703
-5.1989,2.0663
-5.5883,0.1001
-5.2597,-1.8747
-4.2527,-3.6023
-2.7221,-4.8939
-0.8219,-5.5394
1.1843,-5.4733
3.0379,-4.7044
4.5017,-3.3308
5.3871,-1.5293
5.5697,0.4673
5.0561,2.4057
3.8683,4.0189
2.2083,5.1371
0.2553,5.5942
-1.7315,5.3192
-3.4714,4.3361
-4.8167,2.8565
-5.5145,0.975
-5.5012,-1.0318
-4.7809,-2.903
