x,y
4.5594,3.2514
3.1199,4.6504
1.28,5.4517
-0.7234,5.5424
-2.6255,4.9213
-4.2088,3.6938
-5.2412,1.9723
-5.6,-0.0022
-5.2395,-1.9769
-4.2061,-3.6971
-2.6321,-4.9429
-0.7196,-5.5512
1.2843,-5.4508
3.121,-4.6433
4.5552,-3.2431
5.4142,-1.4305
5.5708,0.5707
5.0119,2.4981
3.809,4.1051
2.1171,5.1844
0.1526,5.5868
-1.8254,5.276
-3.5793,4.3068
-4.8677,2.7677
-5.5259,0.8731
-5.4842,-1.1329
-4.7324,-2.9941
-3.3691,-4.4651
-1.5682,-5.3329
0.4156,-5.5758
2.3584,-5.0791
3.998,-3.9212
5.1238,-2.2599
5.5915,-0.3078
5.2934,1.6688
4.4043,3.4587
2.9016,4.7896
1.026,5.5012
-0.9806,5.5135
-2.8619,4.8135
-4.3607,3.4839
-5.3267,1.728
-5.5709,-0.2599
-5.1425,-2.2169
-4.0304,-3.888
-2.3998,-5.0571
-0.4625,-5.5809
1.5269,-5.3579
3.3211,-4.4791
4.7074,-3.0331
5.4673,-1.1772
5.5385,0.8276
4.8756,2.7184
3.6152,4.2767
1.8682,5.2583
-0.106,5.599
-2.0694,5.1913
-3.7663,4.1278
-4.9908,2.54
-5.5659,0.6168
-5.4106,-1.3812
-4.589,-3.2096
-3.1513,-4.6046
-1.3299,-5.4398
0.6739,-5.5593
2.5906,-4.9648
4.1689,-3.7267
5.2227,-2.0207
5.5998,-0.0491
5.2537,1.9275
4.2397,3.6585
2.6763,4.917
0.7701,5.5387
-1.2343,5.4623
-3.0813,4.6761
-4.5185,3.2797
-5.3628,1.4695
-5.5698,-0.5186
-5.0346,-2.4522
-3.8304,-4.0531
-2.1568,-5.1465
-0.2023,-5.5482
1.7807,-5.3049
3.5397,-4.3394
4.8283,-2.8041
5.5232,-0.9245
5.4944,1.0826
4.7596,2.9507
3.4137,4.4392
1.6266,5.3502
-0.363,5.5641
-2.2946,5.0625
-3.9617,3.9573
-5.0743,2.2937
-5.5498,0.3565
-5.3562,-1.6344
-4.421,-3.4069
-2.9453,-4.7629
-1.0771,-5.4954
0.929,-5.5156
2.8173,-4.8397
4.343,-3.5353
5.3107,-1.7766
5.593,0.2097
5.1455,2.1626
4.059,3.8437
2.4319,5.0059
0.5128,5.5689
-1.4783,5.3734
-3.2941,4.5287
-4.6769,3.075
-5.4495,1.2256
-5.5459,-0.7769
-4.9159,-2.6822
-3.6542,-4.2435
-1.9219,-5.255
0.0548,-5.5997
2.0259,-5.2204
3.7365,-4.1712
4.9674,-2.5856
5.5395,-0.6658
5.4385,1.3354
4.6181,3.1675
3.2027,4.5891
1.374,5.4054
-0.6219,5.5604
-2.5451,4.9882
-4.1407,3.7703
-5.204,2.0684
-5.5914,0.1002
-5.2546,-1.8729
-4.2604,-3.6088
-2.7152,-4.8815
